Feature 68800: 	 concurrentmodificationexception
Feature 261275: 	 problems with bitvector
Feature 286796: 	 patch with new unit test
Feature 336142: 	 can be verified
Feature 257554: 	 updated patch i think its
Feature 237180: 	 all solr lucene
Feature 259867: 	 thanks scott
Feature 279143: 	 since the value
Feature 295937: 	 if a local
Feature 327586: 	 closed on repository shutdown
Feature 223410: 	 state before the
Feature 166180: 	 never went
Feature 199251: 	 process is now
Feature 189399: 	 doesn t catch
Feature 157724: 	 must be registered
Feature 150784: 	 actually a bug
Feature 163420: 	 number does not
Feature 241427: 	 fails for me with
Feature 533121: 	 and at the point
Feature 474704: 	 the response to be
Feature 499686: 	 i will commit a fix
Feature 535708: 	 ignores return
Feature 530109: 	 and value is
Feature 498238: 	 i don t know if it s ok
Feature 512575: 	 is to always
Feature 476125: 	 the new openinput
Feature 461454: 	 the wrapped request
Feature 478465: 	 the tests and fix
Feature 464049: 	 the offset to
Feature 43701: 	 nodeid uuid
Feature 477121: 	 the bug occurs
Feature 44376: 	 readers doesn t
Feature 486328: 	 writing files with the
Feature 527200: 	 when an existing
Feature 511690: 	 is not properly handled
Feature 130141: 	 finding this
Feature 320911: 	 should take care of the problem
Feature 192732: 	 true      
Feature 337189: 	 test showing the
Feature 51900: 	 getrootnode
Feature 295557: 	 if the problem
Feature 450171: 	 java 149
Feature 373025: 	 org jcr
Feature 325093: 	 at org
Feature 100848: 	    a
Feature 449025: 	 java 30
Feature 474624: 	 the following exception
Feature 337965: 	 test case which
Feature 98349: 	 story
Feature 537137: 	 1 in revision
Feature 166088: 	 nullpointerexception
Feature 66339: 	 nullpointer
Feature 449519: 	 java 15
Feature 55251: 	 addnode
Feature 335491: 	 can do this
Feature 368821: 	 new patch with
Feature 330152: 	 get http
Feature 523128: 	 a docs
Feature 222910: 	 deprecate a
Feature 355844: 	 exception at
Feature 132184: 	 separate class
Feature 325034: 	 at or
Feature 360555: 	 c java
Feature 340965: 	 fixed in svn r
Feature 432281: 	 to repro
Feature 416815: 	 this feature i
Feature 450664: 	 java 2
Feature 450102: 	 java 8
Feature 450092: 	 java 3
Feature 489247: 	 an svn
Feature 458301: 	 the demo
Feature 167101: 	 remove deprecated
Feature 68679: 	 npe i
Feature 66133: 	 artifacts
Feature 180824: 	 reproduce
Feature 520241: 	 a package
Feature 15578: 	 nocommit
Feature 154208: 	 documentation i
Feature 260297: 	 thanks for reporting
Feature 420882: 	 this bug i
Feature 131540: 	 contrib misc
Feature 249669: 	 we now have
Feature 129296: 	 improvements
Feature 222894: 	 deprecate the
Feature 366277: 	 0  
Feature 61944: 	 extensible
Feature 148284: 	 dependencies
Feature 463604: 	 the contrib
Feature 214791: 	 done in revision
Feature 64339: 	 merged to the
Feature 131978: 	 contrib a
Feature 82359: 	 handy
Feature 339701: 	 branch in revision
Feature 525832: 	 a 4
Feature 59024: 	 customize
Feature 162916: 	 looks perfect
Feature 39936: 	 repro
Feature 355914: 	 exception     
Feature 135096: 	 implemented in revision
Feature 339700: 	 branch in rev
Feature 70033: 	 getpath
Feature 24770: 	 caps
Feature 98196: 	 therefore i suggest to
Feature 351356: 	 in svn r
Feature 67141: 	 readme
Feature 53371: 	 reduces
Feature 138068: 	 performance test
Feature 477136: 	 the bug is
Feature 40315: 	 itemstate
Feature 292384: 	 if nobody objects i would
Feature 286156: 	 patch will commit soon
Feature 162776: 	 good to me olegpatch
Feature 170020: 	 change thanks
Feature 298062: 	 as osgi
Feature 210845: 	 oleghi oleg this looks
Feature 129704: 	 sandbox
Feature 359694: 	 6 branch
Feature 108698: 	 improvement
Feature 365635: 	 e         
Feature 365640: 	 e             
Feature 157007: 	 package a
Feature 98951: 	 improve
Feature 73447: 	 prove
Feature 471661: 	 the fix i
Feature 445277: 	 to the 1
Feature 72241: 	 faster
Feature 90360: 	          
